0.059637,0.040212,0.99741,4.2481,0.044039,0.99811,-0.042873,-1.2052,-0.99725,0.046482,0.057753,1.207
0.056949,0.040272,0.99756,4.2513,0.044092,0.99811,-0.042811,-1.2052,-0.9974,0.046423,0.055066,1.2063
0.054336,0.040577,0.9977,4.2535,0.043863,0.99811,-0.042982,-1.2052,-0.99756,0.046097,0.052454,1.206
0.050866,0.040883,0.99787,4.2557,0.043926,0.9981,-0.043132,-1.2052,-0.99774,0.046026,0.048973,1.2047
0.047682,0.040936,0.99802,4.2583,0.043635,0.99812,-0.043025,-1.2051,-0.99791,0.0456,0.045806,1.2044
0.045518,0.040968,0.99812,4.2609,0.043671,0.99812,-0.04296,-1.2051,-0.99801,0.045545,0.043644,1.204
0.043763,0.0411,0.9982,4.2633,0.043275,0.99814,-0.042995,-1.2051,-0.9981,0.045079,0.041903,1.2045
0.039247,0.041114,0.99838,4.2662,0.043226,0.99815,-0.042804,-1.205,-0.99829,0.044836,0.037398,1.2032
0.031635,0.041534,0.99864,4.2696,0.042922,0.99816,-0.042873,-1.205,-0.99858,0.044219,0.029794,1.2012
0.027232,0.041645,0.99876,4.2723,0.043039,0.99816,-0.042793,-1.2049,-0.9987,0.044151,0.025389,1.1997
0.028464,0.041661,0.99873,4.2726,0.042873,0.99816,-0.042859,-1.2049,-0.99867,0.044038,0.026625,1.201
0.028042,0.041733,0.99874,4.2717,0.042924,0.99816,-0.042914,-1.205,-0.99868,0.044073,0.026199,1.2011
0.028045,0.041686,0.99874,4.27,0.042934,0.99816,-0.042868,-1.2049,-0.99868,0.044082,0.026203,1.2015
0.029788,0.041548,0.99869,4.2677,0.043015,0.99816,-0.042809,-1.205,-0.99863,0.044234,0.027946,1.2021
0.030024,0.041314,0.9987,4.2661,0.043105,0.99816,-0.042587,-1.2049,-0.99862,0.044328,0.028188,1.202
0.029724,0.041184,0.99871,4.2651,0.043134,0.99817,-0.042445,-1.2048,-0.99863,0.044339,0.027893,1.2018
0.029039,0.041171,0.99873,4.2648,0.043103,0.99817,-0.042401,-1.2048,-0.99865,0.044279,0.027211,1.2015
0.027703,0.041422,0.99876,4.2649,0.042975,0.99817,-0.042589,-1.2048,-0.99869,0.044101,0.025872,1.201
0.025854,0.041697,0.9988,4.2667,0.042848,0.99817,-0.042779,-1.2049,-0.99875,0.043902,0.02402,1.2005
0.021151,0.042197,0.99889,4.2712,0.042734,0.99816,-0.043071,-1.205,-0.99886,0.043597,0.019308,1.1989
0.013773,0.042928,0.99898,4.2787,0.042697,0.99814,-0.04348,-1.2053,-0.99899,0.043253,0.011914,1.1962
0.0027829,0.04354,0.99905,4.2901,0.04269,0.99814,-0.043619,-1.2055,-0.99908,0.04277,0.000919,1.1921
-0.0090117,0.043621,0.99901,4.3041,0.04317,0.99813,-0.043193,-1.2055,-0.99903,0.042738,-0.010878,1.1867
-0.024523,0.044685,0.9987,4.3207,0.043346,0.99811,-0.043595,-1.2058,-0.99876,0.04222,-0.026413,1.1799
-0.04234,0.04564,0.99806,4.3404,0.043169,0.99811,-0.043811,-1.2059,-0.99817,0.04123,-0.04423,1.1723
-0.056279,0.046914,0.99731,4.3591,0.044507,0.99802,-0.044436,-1.2068,-0.99742,0.041886,-0.058256,1.1644
-0.068549,0.047761,0.9965,4.3768,0.045738,0.99795,-0.044685,-1.2073,-0.9966,0.042515,-0.070593,1.1567
-0.081065,0.049151,0.9955,4.3943,0.046794,0.99787,-0.045458,-1.2082,-0.99561,0.042898,-0.083193,1.1494
-0.094914,0.050389,0.99421,4.4128,0.048165,0.99778,-0.045972,-1.2093,-0.99432,0.043523,-0.09713,1.1404
-0.1056,0.051615,0.99307,4.4322,0.049092,0.9977,-0.046636,-1.2101,-0.9932,0.043827,-0.10789,1.1333
-0.11367,0.052535,0.99213,4.4532,0.051592,0.99757,-0.046911,-1.2111,-0.99218,0.045853,-0.11611,1.1244
-0.12145,0.054454,0.9911,4.4744,0.052247,0.99746,-0.048401,-1.2128,-0.99122,0.045903,-0.12398,1.1184
-0.13356,0.056562,0.98942,4.4968,0.053388,0.99733,-0.049807,-1.2146,-0.9896,0.046171,-0.13623,1.1088
-0.14425,0.058972,0.98778,4.5189,0.055234,0.99715,-0.051465,-1.2168,-0.988,0.047135,-0.14709,1.0997
-0.15474,0.062902,0.98595,4.54,0.057997,0.99683,-0.054494,-1.2203,-0.98625,0.04875,-0.1579,1.0885
-0.16505,0.067332,0.98398,4.5618,0.058744,0.99657,-0.05834,-1.2235,-0.98454,0.048174,-0.16843,1.0803
-0.1778,0.070483,0.98154,4.5858,0.06046,0.99633,-0.060593,-1.226,-0.98221,0.04857,-0.18141,1.0686
-0.18992,0.072486,0.97912,4.6128,0.061853,0.99617,-0.061751,-1.228,-0.97985,0.048834,-0.19368,1.0574
-0.20552,0.076134,0.97569,4.6421,0.063689,0.9959,-0.064295,-1.2309,-0.97658,0.048927,-0.20953,1.0423
-0.22386,0.078728,0.97144,4.6754,0.062766,0.99583,-0.066241,-1.2332,-0.9726,0.046144,-0.22787,1.0297
-0.24573,0.084558,0.96564,4.7088,0.063678,0.99544,-0.070963,-1.2371,-0.96725,0.044053,-0.24999,1.0111
-0.2691,0.089783,0.95892,4.7443,0.061639,0.99521,-0.075884,-1.2407,-0.96114,0.038686,-0.27334,0.9955
-0.29333,0.09226,0.95155,4.7804,0.06226,0.99506,-0.077286,-1.2428,-0.95398,0.036574,-0.29762,0.97419
-0.31568,0.096205,0.94398,4.815,0.061431,0.99483,-0.080844,-1.2455,-0.94687,0.032468,-0.31996,0.95531
-0.33757,0.099008,0.93608,4.8502,0.061989,0.99463,-0.082846,-1.248,-0.93926,0.03006,-0.3419,0.93336
-0.35676,0.10208,0.9286,4.883,0.062273,0.9944,-0.08539,-1.2504,-0.93212,0.027364,-0.36112,0.91228
-0.37028,0.10498,0.92297,4.9138,0.063694,0.99412,-0.087524,-1.2531,-0.92673,0.026379,-0.37479,0.89267
